;year;month;day;Discharge Flux (m3/s);Entrained Flux (m3/s);Plume Height (m);Discharge Vol (m3);Entrained Vol (m3)
47;2007;7;18;21.9;59.84106247740811;32.0;473040.0;1292566.9495120153
48;2007;7;19;23.1;61.34559561742501;32.0;498960.0;1325064.8653363802
49;2007;7;20;26.6;65.52369607482285;32.0;574560.0;1415311.8352161734
50;2007;7;21;27.3;66.32552471165465;32.0;589680.0;1432631.3337717406
51;2007;7;22;35.8;75.3485108890732;32.0;773280.0;1627527.8352039813
52;2007;7;23;39.2;78.65416630015348;32.0;846720.0;1698929.9920833153
53;2007;7;24;27.0;65.98311900897693;32.0;583200.0;1425235.3705939017
54;2007;7;25;27.6;66.66605416337504;32.0;596160.0;1439986.7699289008
55;2007;7;26;31.6;71.04144719024046;32.0;682560.0;1534495.259309194
56;2007;7;27;26.5;65.40833524830732;32.0;572400.0;1412820.0413634381
57;2007;7;28;24.6;63.17294594447856;32.0;531360.0;1364535.632400737
58;2007;7;29;24.0;62.448462330326535;32.0;518400.0;1348886.7863350532
59;2007;7;30;17.8;54.36043058152171;32.0;384480.0;1174185.3005608688
60;2007;7;31;23.4;61.715586402604664;32.0;505440.0;1333056.6662962607
61;2007;8;1;21.3;59.07328829995153;32.0;460080.0;1275983.027278953
62;2007;8;2;22.7;60.84851499334181;32.0;490320.0;1314327.923856183
63;2007;8;3;14.4;49.31049295395658;32.0;311040.0;1065106.6478054624
64;2007;8;4;19.0;56.02462305136878;32.0;410400.0;1210131.8579095656
65;2007;8;5;26.4;65.29277313096387;32.0;570240.0;1410323.8996288194
66;2007;8;6;13.6;48.03713900775812;32.0;293760.0;1037602.2025675754
67;2007;8;7;33.5;73.02304968018957;32.0;723600.0;1577297.8730920944
68;2007;8;8;10.6;42.88630350551114;32.0;228960.0;926344.1557190405
69;2007;8;9;6.4;34.200549906920926;32.0;138240.0;738731.8779894919
70;2007;8;10;17.0;53.219336562239576;32.0;367200.0;1149537.6697443747
71;2007;8;11;17.4;53.79319434777626;32.0;375840.0;1161932.997911967
72;2007;8;12;17.3;53.65035716842645;32.0;373680.0;1158847.7148380112
73;2007;8;13;10.9;43.43219736333626;32.0;235440.0;938135.463048063
74;2007;8;14;18.5;55.337583768614465;32.0;399600.0;1195291.8094020726
75;2007;8;15;11.7;44.85170092982331;32.0;252720.0;968796.7400841834
76;2007;8;16;4.0;27.813082007879615;32.0;86400.0;600762.5713701997
77;2007;8;17;10.7;43.06913043257272;32.0;231120.0;930293.2173435707
78;2007;8;18;1.4;17.77794653722153;32.0;30240.0;384003.64520398516
79;2007;8;19;0.8;14.111360234371565;32.0;17280.0;304805.3810624258
80;2007;8;20;0.0;0.0;0.0;0.0;0.0
81;2007;8;21;0.0;0.0;0.0;0.0;0.0
82;2007;8;22;0.5;11.665326852996431;32.0;10800.0;251971.0600247229
83;2007;8;23;1.1;16.08378118384814;32.0;23760.0;347409.6735711198
84;2007;8;24;1.2;16.673774638930084;32.0;25920.0;360153.53220088984
85;2007;8;25;1.0;15.463709116091291;32.0;21600.0;334016.1169075719
86;2007;8;26;2.0;20.6527929008317;32.0;43200.0;446100.32665796473
87;2007;8;27;1.6;18.799333861410297;32.0;34560.0;406065.6114064624
88;2007;8;28;1.7;19.284195346539235;32.0;36720.0;416538.6194852474
89;2007;8;29;0.6;12.554597094913596;32.0;12960.0;271179.2972501337
90;2007;8;30;0.8;14.111360234371565;32.0;17280.0;304805.3810624258
91;2007;8;31;1.2;16.673774638930084;32.0;25920.0;360153.53220088984
92;2007;9;1;0.2;8.109186384870757;31.3;4320.0;175158.42591320837
93;2007;9;2;0.0;0.0;0.0;0.0;0.0
94;2007;9;3;0.8;14.111360234371565;32.0;17280.0;304805.3810624258
95;2007;9;4;0.3;9.514895617157745;31.5;6480.0;205521.7453306073
96;2007;9;5;0.8;14.111360234371565;32.0;17280.0;304805.3810624258
97;2007;9;6;0.3;9.514895617157745;31.5;6480.0;205521.7453306073
98;2007;9;7;1.0;15.463709116091291;32.0;21600.0;334016.1169075719
99;2007;9;8;1.0;15.463709116091291;32.0;21600.0;334016.1169075719
100;2007;9;9;0.4;10.668161401187751;32.0;8640.0;230432.28626565542
101;2007;9;10;0.7;13.364181006393169;32.0;15120.0;288666.3097380924
102;2007;9;11;0.5;11.665326852996431;32.0;10800.0;251971.0600247229
103;2007;9;12;0.0;0.0;0.0;0.0;0.0
104;2007;9;13;0.0;0.0;0.0;0.0;0.0
105;2007;9;14;0.0;0.0;0.0;0.0;0.0
106;2007;9;15;0.0;0.0;0.0;0.0;0.0
107;2007;9;16;0.0;0.0;0.0;0.0;0.0
108;2007;9;17;0.6;12.554597094913596;32.0;12960.0;271179.2972501337
109;2007;9;18;0.6;12.554597094913596;32.0;12960.0;271179.2972501337
110;2007;9;19;0.4;10.668161401187751;32.0;8640.0;230432.28626565542
111;2007;9;20;0.2;8.109186384870757;31.3;4320.0;175158.42591320837
112;2007;9;21;0.0;0.0;0.0;0.0;0.0
113;2007;9;22;0.0;0.0;0.0;0.0;0.0
114;2007;9;23;0.0;0.0;0.0;0.0;0.0
115;2007;9;24;0.0;0.0;0.0;0.0;0.0
116;2007;9;25;0.0;0.0;0.0;0.0;0.0
117;2007;9;26;0.0;0.0;0.0;0.0;0.0
118;2007;9;27;0.0;0.0;0.0;0.0;0.0
119;2007;9;28;0.0;0.0;0.0;0.0;0.0
120;2007;9;29;0.0;0.0;0.0;0.0;0.0
121;2007;9;30;0.0;0.0;0.0;0.0;0.0
